flight_time_s,vbat_v,x_m,y_m,z_m
0.03783982596360147,3.669421672821045,-0.0798504427075386,-0.050801027566194534,0.24672989547252655
0.08849451300920919,3.669421672821045,-0.07765693962574005,-0.05689507722854614,0.26163142919540405
0.1373112199944444,3.689256429672241,-0.07718686014413834,-0.057545341551303864,0.2764834463596344
0.18702494696481153,3.7090911865234375,-0.07778278738260269,-0.05651475861668587,0.2885238528251648
0.23813926201546565,3.7090911865234375,-0.07266915589570999,-0.06301537901163101,0.2948760390281677
0.28757115197367966,3.7090911865234375,-0.07133539766073227,-0.06268731504678726,0.3006128668785095
0.3391430549672805,3.689256429672241,-0.06882169097661972,-0.06263167411088943,0.3038152754306793
0.38770876597845927,3.669421672821045,-0.06537438929080963,-0.05919273942708969,0.3058789074420929
0.4377987649641,3.6495871543884277,-0.0618521086871624,-0.057062070816755295,0.30510544776916504
0.486907662008889,3.6495871543884277,-0.05743220075964928,-0.05361764878034592,0.3050534725189209
0.5371536549646407,3.6495871543884277,-0.05593348294496536,-0.05149904265999794,0.3032478392124176
0.5879446999751963,3.6495871543884277,-0.05307125300168991,-0.04730680584907532,0.3022271990776062
0.638524770969525,3.6297523975372314,-0.05161707475781441,-0.04507586732506752,0.30040958523750305
0.6885119489743374,3.6297523975372314,-0.052305933088064194,-0.04220875725150108,0.2992760241031647
0.7368854340165854,3.6297523975372314,-0.05253859609365463,-0.038442667573690414,0.2980763018131256
0.7865062159835361,3.6297523975372314,-0.054948464035987854,-0.03639325499534607,0.2973473370075226
0.8373844039742835,3.6297523975372314,-0.05808024853467941,-0.03525859862565994,0.29765570163726807
0.8870203389669769,3.6495871543884277,-0.06056573987007141,-0.03418825566768646,0.2986074984073639
0.9379307390190661,3.6495871543884277,-0.06218865141272545,-0.033785369247198105,0.2995065450668335
0.9886278749909252,3.6297523975372314,-0.06438077986240387,-0.03418595343828201,0.2978181838989258
1.038599074992817,3.6297523975372314,-0.06394028663635254,-0.03313259035348892,0.298040509223938
1.0876714389887638,3.6297523975372314,-0.06363794207572937,-0.03419406712055206,0.29698044061660767
1.1367700909613632,3.6297523975372314,-0.06011594831943512,-0.0335630439221859,0.29574695229530334
1.1869434749823995,3.6297523975372314,-0.057060837745666504,-0.03171906620264053,0.2972794771194458
1.2384232229669578,3.6297523975372314,-0.05305846035480499,-0.030822183936834335,0.29872944951057434
1.2869332139962353,3.6495871543884277,-0.04848238453269005,-0.029348067939281464,0.2997663915157318
1.3366631899843924,3.6297523975372314,-0.043577663600444794,-0.02811383828520775,0.2988583445549011
1.3860802059643902,3.6297523975372314,-0.039917707443237305,-0.026506414636969566,0.29952335357666016
1.4365372270112857,3.6495871543884277,-0.03525776043534279,-0.024130215868353844,0.29953470826148987
1.487478269962594,3.6297523975372314,-0.0317562110722065,-0.02204444259405136,0.299366295337677
1.536728705978021,3.6495871543884277,-0.028815938159823418,-0.02135542780160904,0.2991012632846832
1.5875879569794051,3.6297523975372314,-0.024814585223793983,-0.017521850764751434,0.2987224757671356
1.63669547700556,3.6297523975372314,-0.022241136059165,-0.016684619709849358,0.2984374165534973
1.6859920179704204,3.6297523975372314,-0.019546374678611755,-0.01375916413962841,0.29766300320625305
1.7359393729711883,3.6297523975372314,-0.016210321336984634,-0.011918460950255394,0.29749274253845215
1.7858373170020059,3.609917640686035,-0.014624270610511303,-0.011577335186302662,0.29737719893455505
1.8360979479621165,3.6297523975372314,-0.013604427687823772,-0.011876638047397137,0.2976153492927551
1.8875248120166361,3.6297523975372314,-0.013224368914961815,-0.011188089847564697,0.2975989282131195
1.9367766389623284,3.609917640686035,-0.014195800758898258,-0.014127315953373909,0.29776114225387573
1.9863525769906119,3.6297523975372314,-0.015457081608474255,-0.014087473973631859,0.2989670932292938
2.0360149829648435,3.6297523975372314,-0.01714617758989334,-0.015426299534738064,0.29994457960128784
2.086955817998387,3.6297523975372314,-0.017781518399715424,-0.015908049419522285,0.2999870181083679
2.1365982379647903,3.6297523975372314,-0.01915895566344261,-0.01732691377401352,0.299124151468277
2.186293948965613,3.609917640686035,-0.017887109890580177,-0.01802794635295868,0.29938384890556335
2.2376292499830015,3.609917640686035,-0.016777463257312775,-0.01794479973614216,0.29900243878364563
2.288652849965729,3.609917640686035,-0.011851022951304913,-0.01763935759663582,0.3000917136669159
2.3353180600097403,3.609917640686035,-0.009738260880112648,-0.01699935644865036,0.30062535405158997
2.3856255779974163,3.6297523975372314,-0.005118393339216709,-0.017909254878759384,0.3010154366493225
2.434998815006111,3.6297523975372314,-0.0021673140581697226,-0.01677713356912136,0.30054694414138794
2.4856765000149608,3.609917640686035,0.0011018529767170548,-0.015847617760300636,0.30100005865097046
2.5359649150050245,3.609917640686035,0.003668175544589758,-0.013786658644676208,0.3014792799949646
2.5872027649893425,3.6297523975372314,0.005846901796758175,-0.012998719699680805,0.3014869689941406
2.635008704965003,3.609917640686035,0.007548108231276274,-0.011693870648741722,0.3023460805416107
2.6861580699915066,3.609917640686035,0.009907500818371773,-0.012057126499712467,0.30102935433387756
2.7358859999803826,3.609917640686035,0.01297412533313036,-0.008819065988063812,0.30179113149642944
2.784449463011697,3.609917640686035,0.01542156282812357,-0.008698375895619392,0.3008330762386322
2.8371064210077748,3.609917640686035,0.01685589924454689,-0.008302458561956882,0.29967132210731506
2.8868022289825603,3.609917640686035,0.018637821078300476,-0.007529417518526316,0.2983107268810272
2.9363205499830656,3.609917640686035,0.018046116456389427,-0.007349114399403334,0.29831361770629883
2.9849400669918396,3.6297523975372314,0.017897944897413254,-0.008098927326500416,0.2987285256385803
3.0364214169676416,3.609917640686035,0.01638695038855076,-0.008116021752357483,0.29932186007499695
3.0865259600104764,3.6297523975372314,0.01269426941871643,-0.01006030198186636,0.300010621547699
3.136393576976843,3.609917640686035,0.006016470957547426,-0.011258129961788654,0.3009937107563019
3.1854333310038783,3.609917640686035,0.0013486589305102825,-0.01304525975137949,0.3036641478538513
3.2345847719698213,3.609917640686035,-0.01067962683737278,-0.01458276342600584,0.3065972328186035
3.2856103950180113,3.609917640686035,-0.02633070945739746,-0.01326026488095522,0.30585551261901855
3.3346970319980755,3.609917640686035,-0.044801048934459686,-0.012590873055160046,0.30186018347740173
3.38444202800747,3.609917640686035,-0.08081214874982834,-0.01033347100019455,0.29678648710250854
3.4348966169636697,3.590082883834839,-0.09692732244729996,-0.008418790996074677,0.29467496275901794
3.48503617499955,3.590082883834839,-0.11099662631750107,-0.008672866970300674,0.2933281362056732
3.5361857669777237,3.5702481269836426,-0.11567673087120056,-0.0076504060998559,0.2898177206516266
3.585556819976773,3.5702481269836426,-0.11612466722726822,-0.009558298625051975,0.2900241017341614
3.635564890981186,3.590082883834839,-0.11419306695461273,-0.009436435997486115,0.2902296781539917
3.683873242989648,3.609917640686035,-0.10788559168577194,-0.01023057010024786,0.29210779070854187
3.733842260960955,3.609917640686035,-0.1036004051566124,-0.012085221707820892,0.2944672107696533
3.784233556012623,3.6297523975372314,-0.10070250183343887,-0.012132544070482254,0.29894766211509705
3.8356893570162356,3.6495871543884277,-0.09804277122020721,-0.013352361507713795,0.30270639061927795
3.8843789600068703,3.6297523975372314,-0.09902848303318024,-0.013164376839995384,0.3042469620704651
3.9346725899958983,3.6297523975372314,-0.09847979992628098,-0.013572524301707745,0.30452850461006165
3.985373609000817,3.6297523975372314,-0.09797903150320053,-0.012468340806663036,0.30426010489463806
4.0337701619719155,3.609917640686035,-0.09804685413837433,-0.01114015281200409,0.30535954236984253
4.084332033991814,3.6297523975372314,-0.09683451056480408,-0.010118069127202034,0.3056427836418152
4.1335224859649315,3.609917640686035,-0.0928284302353859,-0.006894753314554691,0.30691635608673096
4.184803119977005,3.609917640686035,-0.09167000651359558,-0.006269082427024841,0.30523625016212463
4.233428457984701,3.590082883834839,-0.08576849102973938,-0.003963446244597435,0.3036123514175415
4.284909292997327,3.590082883834839,-0.07936883717775345,-0.0030232009012252092,0.305231511592865
4.334361784975044,3.609917640686035,-0.06619946658611298,-0.0013093637535348535,0.3046407997608185
4.383725090010557,3.590082883834839,-0.045223865658044815,-0.0012446005130186677,0.30440473556518555
4.433946262986865,3.609917640686035,-0.020056037232279778,-0.0017934901406988502,0.3034375309944153
4.484071140002925,3.590082883834839,0.014148968271911144,-0.0033385101705789566,0.300365149974823
4.534968519001268,3.590082883834839,0.04736380651593208,-0.0036514943931251764,0.2988487780094147
4.583923769998364,3.590082883834839,0.07579029351472855,-0.004417800344526768,0.2990553081035614
4.633038074010983,3.609917640686035,0.10676290094852448,-0.005212963558733463,0.3001999258995056
4.683596573013347,3.609917640686035,0.13756772875785828,-0.0034353118389844894,0.30459877848625183
4.73618422698928,3.609917640686035,0.15558619797229767,-0.0020762737840414047,0.30780521035194397
4.784700720978435,3.609917640686035,0.16792859137058258,-0.00020570149354171008,0.30641525983810425
4.833226220973302,3.5702481269836426,0.1667589396238327,0.0012956130085512996,0.3010628819465637
4.883809826977085,3.5504133701324463,0.16699951887130737,0.0016652282793074846,0.2958039939403534
4.9338520399760455,3.510744094848633,0.1628379076719284,0.002601789077743888,0.2865782678127289
4.985111225978471,3.510744094848633,0.1536780744791031,0.0032426510006189346,0.28165289759635925
5.033363914990332,3.5504133701324463,0.14769726991653442,0.004874390084296465,0.2794104814529419
5.082767768995836,3.5702481269836426,0.14194388687610626,0.004794134292751551,0.2817719280719757
5.133384494984057,3.590082883834839,0.136570543050766,0.0036164980847388506,0.2867456376552582
5.184319629974198,3.6297523975372314,0.133350670337677,0.0035621612332761288,0.2933059334754944
5.232721538981423,3.6495871543884277,0.13216352462768555,0.004320153500884771,0.29930350184440613
5.284105541009922,3.6495871543884277,0.1332455277442932,0.0035718190483748913,0.3053235709667206
5.333648069994524,3.6495871543884277,0.13519014418125153,0.004495476372539997,0.3109626770019531
5.38327476097038,3.6495871543884277,0.1418667435646057,0.008046191185712814,0.3153412938117981
5.433978150016628,3.6495871543884277,0.14520107209682465,0.010288191959261894,0.3158905506134033
5.4823557359632105,3.609917640686035,0.15204815566539764,0.01187625341117382,0.3144280016422272
5.5321599949966185,3.590082883834839,0.1560831367969513,0.01447202730923891,0.31272292137145996
5.581953322980553,3.590082883834839,0.16034698486328125,0.016043538227677345,0.31025245785713196
5.632696543005295,3.590082883834839,0.1642099916934967,0.017716584727168083,0.30841064453125
5.682233429979533,3.590082883834839,0.16556903719902039,0.019435392692685127,0.30761685967445374
