time_s,height_m,kp
0.05646028099999967,0.0006928812945261598,5.0
0.10686796699974366,0.000684131111484021,5.0
0.1567975259999912,0.0015430976636707783,5.0
0.20691170899999634,0.0013728983467444777,5.0
0.2570348310000554,0.0006862657610327005,5.0
0.30674264199979007,0.0016177918296307325,5.0
0.3574142339998616,0.0015050615184009075,5.0
0.4068846059999487,0.0006308945594355464,5.0
0.4569786059996659,0.00153863406740129,5.0
0.5069978009996703,0.0018109878292307258,5.0
0.5570080239999697,0.0019894305150955915,5.0
0.6068085029996837,0.0021858997642993927,5.0
0.6565894499999558,0.0014964670408517122,5.0
0.7064239629999065,0.0012582645285874605,5.0
0.7566628509998736,0.002455672714859247,5.0
0.806977962000019,0.003402707166969776,5.0
0.8568094610000117,0.0032542452681809664,5.0
0.9068867339997269,0.002254675142467022,5.0
0.9563037630000508,0.0014115064404904842,5.0
1.0065063339998233,0.00012398180842865258,5.0
1.0570577559997218,-0.0007741216104477644,5.0
1.106558457999654,-0.0005469323368743062,5.0
1.1565135929999997,0.0003097949957009405,5.0
1.2064083199998095,0.0017065054271370173,5.0
1.2575439089996507,0.004131908528506756,5.0
1.306388233999769,0.004951674956828356,5.0
1.3568341309996867,0.00502066221088171,5.0
1.4064526459997069,0.003892168402671814,5.0
1.4566139730000032,0.003091050311923027,5.0
1.506570716999704,0.002882175613194704,5.0
1.5570341979996556,0.002559186425060034,5.0
1.606651950000014,0.0026577990502119064,5.0
1.6569423449996066,0.0025117089971899986,5.0
1.706749053999829,0.0013544262619689107,5.0
1.7567048869996142,0.001923568663187325,5.0
1.8067172969999774,0.0019781203009188175,5.0
1.856434765999893,0.0012792677152901888,5.0
1.9066975769997043,0.0025262394919991493,5.0
1.9566028760000336,0.002445036778226495,5.0
2.006643409999924,0.00247408589348197,5.0
2.056632325999999,0.001776959514245391,5.0
2.106920092999644,0.0017411697190254927,5.0
2.156618246999642,0.0010248972102999687,5.0
2.207027910999841,0.001577906426973641,5.0
2.256776071999866,0.0017453932669013739,5.0
2.3066254089999347,-0.00015399378025904298,5.0
2.356628116999673,0.00018117879517376423,5.0
2.406684846999724,0.0014612087979912758,5.0
2.4570534019999286,0.001698070322163403,5.0
2.506600239999898,0.0015103202313184738,5.0
2.5568962719999035,0.0014655494596809149,5.0
2.6071626769999057,0.00048572299419902265,5.0
2.657192238999869,0.0023413668386638165,5.0
2.706809955999688,0.0018715016776695848,5.0
2.7566631679997045,0.0015063168248161674,5.0
2.807046906999858,0.0009758958476595581,5.0
2.85706213200001,0.0013512859586626291,5.0
2.9068006979996426,-0.00036393728805705905,5.0
2.9568822389996967,0.00025304072187282145,5.0
3.0069886739997855,0.0032187998294830322,5.0
3.0570585809996373,0.0014111408963799477,5.0
3.1066194369996083,0.0025647012516856194,5.0
3.156606623999778,0.0018745528068393469,5.0
3.20677662099979,-2.9826464015059173e-05,5.0
3.2570701820000068,0.00167690753005445,5.0
3.3065578480000113,0.001467997208237648,5.0
3.3570243419999315,0.0002742270880844444,5.0
3.407408612999916,0.0008464456768706441,5.0
3.457298541,0.0021782591938972473,5.0
3.507046681999782,0.0028182044625282288,5.0
3.5570779810000204,0.0030700501520186663,5.0
3.6069243639999513,0.0024975507985800505,5.0
3.657275109999773,0.0016995256301015615,5.0
3.7067026909999186,0.001447221147827804,5.0
3.7570893959996283,0.0019041544292122126,5.0
3.8072175769998466,0.0017676486168056726,5.0
3.856899330000033,0.0006237342022359371,5.0
3.9066506229996776,0.0018932188395410776,5.0
3.9572263559998646,0.0001084290852304548,5.0
4.006825083999956,0.002756060566753149,5.0
4.056890599999861,0.004712492227554321,5.0
4.106679313999848,0.0038028466515243053,5.0
4.156806273999791,0.0032964972779154778,5.0
4.206873538999844,0.001797272707335651,5.0
4.257696788999965,0.0033462876453995705,5.0
4.307278555999801,0.00268106278963387,5.0
4.356950889000018,0.003965744283050299,5.0
4.4069661029998315,0.003302178578451276,5.0
4.456645811999806,0.001725241425447166,5.0
4.507204655999885,0.001588180079124868,5.0
4.556588268999803,0.0017250298988074064,5.0
4.607009574999665,0.00026306440122425556,5.0
4.656809207999686,0.0002865041606128216,5.0
4.706617140999697,-0.003943890333175659,5.0
4.756963022000036,0.0006708800792694092,5.0
4.806641052000032,0.0012390597257763147,5.0
4.857024011999783,0.0024424733128398657,5.0
4.907186959999763,0.004198094829916954,5.0
4.956987146999836,0.0070407516323029995,5.0
5.007032091999918,0.006491708569228649,5.0
5.05683034499998,0.005790560506284237,5.0
5.1080590980000125,0.003807925619184971,5.0
5.156960571999662,0.0028553386218845844,5.0
5.206651609999881,0.003246937645599246,5.0
5.257330237999668,0.0034299741964787245,5.0
5.307051563999721,0.002634096425026655,5.0
5.357474230999742,0.0030087034683674574,5.0
5.406750598999679,0.0038358457386493683,5.0
5.456885797999803,0.0076519520953297615,5.0
5.506969014999868,0.017228687182068825,5.0
5.557293544999993,0.02971554733812809,5.0
5.607433170999684,0.044425033032894135,5.0
5.656904972999655,0.06668589264154434,5.0
5.70689877399991,0.08199872821569443,5.0
5.7574174909996145,0.09410689771175385,5.0
5.807256573999894,0.09927598387002945,5.0
5.85676703199988,0.10238298773765564,5.0
5.9068430549996265,0.10355581343173981,5.0
5.956974777999676,0.10346321016550064,5.0
6.006950695999876,0.10873262584209442,5.0
6.056714035999903,0.11822330206632614,5.0
6.106968610999957,0.1288658231496811,5.0
6.156615869999769,0.14152538776397705,5.0
6.206750031999945,0.15430577099323273,5.0
6.2568839559999105,0.16846267879009247,5.0
6.306871426999805,0.18316353857517242,5.0
6.356868478999786,0.19617383182048798,5.0
6.407401255999957,0.20906178653240204,5.0
6.457207471999936,0.22000858187675476,5.0
6.506861911999749,0.23359809815883636,5.0
